WHO_region,Disease_presentation,Age_group,Pathogen,deaths associated with resistance (mean),deaths associated with resistance (lower),deaths associated with resistance (upper),deaths attributable to resistance (mean),deaths attributable to resistance (lower),deaths attributable to resistance (upper),vaccine_avertable_deaths_associated_with_resistance_.mean.,vaccine_avertable_deaths_associated_with_resistance_.lower.,vaccine_avertable_deaths_associated_with_resistance_.upper.,vaccine_avertable_deaths_attributable_to_resistance_.mean.,vaccine_avertable_deaths_attributable_to_resistance_.lower.,vaccine_avertable_deaths_attributable_to_resistance_.upper.
Africa,Bacterial skin infections,EN,Acinetobacter baumannii,14.7541977199827,0.0139159035507946,97.8524886208378,4.31963851468068,0.00428087985276169,29.6557833599214,0,0,0,0,0,0
Africa,Bacterial skin infections,LN,Acinetobacter baumannii,0.466922739309533,0.000702362138521523,3.25409445449199,0.137858083455809,0.000210307556579453,1.10199470621813,0,0,0,0,0,0
Africa,Bacterial skin infections,PN,Acinetobacter baumannii,24.8273452464188,0.903828753312555,126.057882637922,7.32307569243511,0.258568327894789,34.8960576264456,0,0,0,0,0,0
Africa,Bacterial skin infections,1 to 4,Acinetobacter baumannii,20.4591144837087,0.711287971025606,102.848366390034,6.02707052004371,0.202457796571159,30.418956427241,0,0,0,0,0,0
Africa,Bacterial skin infections,5 to 9,Acinetobacter baumannii,5.17231386388719,0.0959417303247399,36.4589340213281,1.51942400603875,0.0290759240334707,10.6872987872794,0,0,0,0,0,0
Africa,Bacterial skin infections,10 to 14,Acinetobacter baumannii,6.56127376095015,0.149877450207887,45.8613211677652,1.92712323580871,0.0425373288194224,12.9392062790109,0,0,0,0,0,0
Africa,Bacterial skin infections,15 to 19,Acinetobacter baumannii,16.6691522841584,0.439036930743236,106.384195904335,4.90455157360687,0.125777012012647,31.0814138802152,0,0,0,0,0,0
Africa,Bacterial skin infections,20 to 24,Acinetobacter baumannii,17.335124381573,0.445738815750362,107.948548321315,5.10589115647094,0.128951135754226,31.5329769735958,0,0,0,0,0,0
Africa,Bacterial skin infections,25 to 29,Acinetobacter baumannii,10.65756978025,0.273548407881276,65.7129845379564,3.1564199209937,0.0834511783463691,19.0633310298462,0,0,0,0,0,0
Africa,Bacterial skin infections,30 to 34,Acinetobacter baumannii,13.072436354545,0.379788212028414,78.5435758696302,3.88066654240095,0.110474989717024,23.5122671170347,0,0,0,0,0,0
Africa,Bacterial skin infections,35 to 39,Acinetobacter baumannii,12.0611521489156,0.318814434923997,75.405346633527,3.59169636550265,0.0960448919475147,21.8680725674074,0,0,0,0,0,0
Africa,Bacterial skin infections,40 to 44,Acinetobacter baumannii,18.4640494833803,0.488809161456035,111.992338673823,5.47836443098027,0.151100325329489,32.4019444434472,0,0,0,0,0,0
Africa,Bacterial skin infections,45 to 49,Acinetobacter baumannii,27.6518056459766,0.798033760419371,168.376147864849,8.20089878507305,0.237528834771063,47.2916397491781,0,0,0,0,0,0
Africa,Bacterial skin infections,50 to 54,Acinetobacter baumannii,47.4237486533383,0.984026255839165,250.745020744966,14.0705231487765,0.283051654948102,74.4823192438109,0,0,0,0,0,0
Africa,Bacterial skin infections,55 to 59,Acinetobacter baumannii,71.5286043519122,1.58828339292424,403.775387272257,21.2248445926667,0.462358509514677,115.250055139294,0,0,0,0,0,0
Africa,Bacterial skin infections,60 to 64,Acinetobacter baumannii,98.3151709629581,2.05783258516019,549.900893282068,29.1839738957986,0.614037108328711,156.421434392122,0,0,0,0,0,0
Africa,Bacterial skin infections,65 to 69,Acinetobacter baumannii,124.918024755007,2.86553837198529,697.961636884476,37.1235147944095,0.779560358018291,203.931986115901,0,0,0,0,0,0
Africa,Bacterial skin infections,70 to 74,Acinetobacter baumannii,143.38396706998,4.17215018604001,733.056240009171,42.7139332631183,1.22553453415322,229.038790840458,0,0,0,0,0,0
Africa,Bacterial skin infections,75 to 79,Acinetobacter baumannii,193.861788077115,5.78037505293868,1001.55946867905,57.6907390195234,1.68176694180865,299.439891810115,0,0,0,0,0,0
Africa,Bacterial skin infections,80 to 84,Acinetobacter baumannii,170.192056869333,5.09900477635294,857.359481071343,50.7944182909723,1.49000044145671,262.100239282704,0,0,0,0,0,0
